,id,name,designation,absolute_magnitude_h,is_potentially_hazardous,is_sentry_object,diameter_min_m,diameter_max_m,diameter_avg_m,orbital_period_days,eccentricity,inclination_deg,perihelion_distance_au,aphelion_distance_au,last_close_approach_date,last_miss_distance_km,last_relative_velocity_kmh,orbiting_body,om,w,ma,epoch
0,2001620,1620 Geographos (1951 RA),1620,15.27,True,False,2347.2263753125,5248.5577337793,3797.8920545459,507.877358448078,0.3355121972702519,13.33579272082793,0.8278035737168112,1.66375028270058,1901-08-23,5071250.986983104,42346.1215537798,Earth,337.0,277.0,213.0,2461000.5
1,2002102,2102 Tantalus (1975 YA),2102,16.0,True,False,1677.0846216284,3750.0752179805,2713.57991980445,535.1971366002034,0.2993501728113047,64.00515474127633,0.9038809959185186,1.676240944724136,1912-12-23,10979848.95911695,122044.0246634538,Earth,94.4,61.5,347.0,2461000.5
2,2002201,2201 Oljato (1947 XC),2201,15.32,True,False,2293.7969799646,5129.0859737846,3711.4414768746,1174.576963860742,0.7107467143062985,2.521761458118109,0.6301834629348992,3.727128927993088,1903-06-18,25845171.89043248,91244.2563877579,Earth,74.9,98.4,97.0,2461000.5
3,2002340,2340 Hathor (1976 UA),2340,20.43,True,False,218.0494404829,487.5733713755,352.8114059292,283.1422301110497,0.4499362680235325,5.860590932930383,0.4641772223384067,1.223544382831028,1901-07-04,11911205.968456928,62969.6371285868,Merc,211.0,40.1,202.0,2461000.5
4,2002101,2101 Adonis (1936 CA),2101,18.69,True,False,485.9090374507,1086.5256386213,786.217338036,937.0475666015464,0.7641272866540292,1.319975555725494,0.442031456643264,3.306019349003813,1902-07-16,28140949.153484065,69587.3878906057,Earth,349.0,43.7,24.5,2461000.5
5,2002135,2135 Aristaeus (1977 HA),2135,18.05,True,False,652.4616297891,1458.9485569187,1055.7050933538999,738.9638465947008,0.5030860272069245,23.07237482818519,0.7948729510676352,2.404364722205181,1958-10-17,71380028.48041442,98776.0299183462,Earth,191.0,291.0,37.2,2461000.5
6,2001566,1566 Icarus (1949 MA),1566,16.53,True,False,1313.877806011,2937.9200883689,2125.89894718995,408.8362849142513,0.8270056908369543,22.8032205675089,0.1864944109615815,1.969581264173051,1902-06-11,12638658.792139495,97229.0019638462,Earth,88.0,31.4,153.0,2461000.5
7,2001862,1862 Apollo (1932 HA),1862,16.08,True,False,1616.4228333988,3614.4313358626,2615.4270846307,651.6039225887832,0.5599179930610263,6.351390019564655,0.6473270985742849,2.294520504225118,1911-01-29,9839828.72675955,41906.5693097868,Venus,35.5,286.0,114.0,2461000.5
8,2001981,1981 Midas (1973 EA),1981,15.25,True,False,2368.9449935595,5297.1220405568,3833.03351705815,864.6940102765044,0.6504955479929404,39.82338344164565,0.6208147993750656,2.931728212938413,1916-09-24,23199847.01189949,113050.5244038871,Earth,357.0,268.0,65.3,2461000.5
9,2003122,3122 Florence (1981 ET3),3122,14.08,True,False,4060.2705827968,9079.0410301763,6569.65580648655,859.3006319561886,0.4232384851275994,22.14277038617249,1.020220572478066,2.517534794933277,1930-08-29,7837812.447728948,50235.8172642385,Earth,336.0,27.9,168.0,2461000.5
10,2003200,3200 Phaethon (1983 TB),3200,14.39,True,False,3520.0998005474,7871.1824416075,5695.6411210774495,523.6236739904099,0.8897184635468977,22.31263747285634,0.1402114151262369,2.402578967303053,1924-10-21,22346296.40825863,121960.0409436022,Venus,265.0,322.0,164.0,2461000.5
11,2003361,3361 Orpheus (1982 HR),3361,19.56,True,False,325.5029857646,727.8468030489,526.67489440675,486.2478722753477,0.3231610018528006,2.651688392512523,0.8190773163367528,1.601224464674451,1929-11-12,22268336.09627086,46647.371583895,Earth,188.0,303.0,321.0,2461000.5
12,2003362,3362 Khufu (1984 QA),3362,18.52,True,False,525.4785303417,1175.0057145608,850.24212245125,359.5332510718517,0.4684608161126215,9.915985684678182,0.5259716972976222,1.453079756448313,1912-09-09,72881438.22636625,108037.2079069855,Earth,152.0,55.1,40.4,2461000.5
13,2004034,4034 Vishnu (1986 PA),4034,18.49,True,False,532.7886648737,1191.3516722989,862.0701685863,398.2607828523565,0.4440123314329569,11.16925301425348,0.5889944965048441,1.529737733736414,1904-12-26,10094314.19623201,54636.603857698,Venus,158.0,297.0,262.0,2461000.5
14,2004179,4179 Toutatis (1989 AC),4179,15.29,True,False,2325.7068745545,5200.4386672425,3763.0727708984996,1481.240624993748,0.624740333220544,0.4480782679755703,0.9542965353863628,4.13176317135645,1906-10-02,23118432.290616184,44403.6132967565,Earth,125.0,278.0,76.9,2461000.5
15,2004183,4183 Cuno (1959 LM),4183,14.16,True,False,3913.4066314662,8750.6432515568,6332.0249415114995,1018.365510685235,0.6361972434032498,6.66948058230087,0.7206695224739196,3.241199976347559,1903-09-16,11911798.540579785,64644.5647621966,Mars,294.0,237.0,317.0,2461000.5
16,2003671,3671 Dionysus (1984 KD),3671,16.49,True,False,1338.3046181583,2992.5401008038,2165.42235948105,1189.68413892372,0.5438362953411613,13.53279403537427,1.002327294409289,3.392267383652273,1930-11-15,275200659.7481271,11968.349214867,Juptr,82.0,204.0,252.0,2461000.5
17,2003757,3757 Anagolay (1982 XB),3757,19.01,True,False,419.3290754861,937.648317729,678.4886966075501,907.5882302983372,0.4458609644108424,3.866441989896492,1.016589680452097,2.652488349292782,1900-11-16,27345732.08504038,39218.822832244,Earth,74.9,17.2,92.4,2461000.5
18,2004015,4015 Wilson-Harrington (1979 VA),4015,16.19,True,False,1536.5792940044,3435.8957542125,2486.23752410845,1554.579658736235,0.6308546919671275,2.798581486347994,0.9694834255235232,4.28310087895958,1919-09-30,7860397.821594541,31701.5587859076,Earth,267.0,95.5,274.0,2461000.5
